,model_index,Model,Dataset,R2score,MAE
0,0,Baseline,Training,0.7008606302490571,124711.31334584685
1,0,Baseline,Testing,0.7027180378811245,126912.39085920254
0,1,Standarized+Target_log,Training,0.773211910964749,0.1941934411913248
1,1,Standarized+Target_log,Testing,0.7739303480566931,0.19492972773752038
0,2,Polynomial coefficients,Training,0.7865955969870813,0.08064950366923593
1,2,Polynomial coefficients,Testing,0.7874574855978878,0.08119087779679499
0,3,Sqft linearization,Training,0.7899294458677667,0.08012166220735747
1,3,Sqft linearization,Testing,0.7925394750025785,0.08060093052766523
0,4,Ridge+Sqft linearization+Zipcode encoded,Training,0.8764565534716002,0.05903511233135262
1,4,Ridge+Sqft linearization+Zipcode encoded,Testing,0.8767248775021352,0.05942209744261632
