,model_index,Model,Dataset,R2score,MAE
0,0,Baseline,Training,0.7008606302490571,124711.31334584685
1,0,Baseline,Testing,0.7027180378811245,126912.39085920254
0,1,Standarized,Training,0.7016346641666036,124445.2391412394
1,1,Standarized,Testing,0.7042257014401471,126601.71323181655
0,2,Standarized+Target_log,Training,0.773211910964749,0.1941934411913248
1,2,Standarized+Target_log,Testing,0.7739303480566931,0.19492972773752038
0,3,Reg:Ridge,Training,0.7732112455360358,0.1941942775877053
1,3,Reg:Ridge,Testing,0.7739377168119528,0.19492916030027024
0,4,Reg:Lasso,Training,0.7722674795959044,0.19451678386992655
1,4,Reg:Lasso,Testing,0.7730652779276739,0.19519690669057968
0,5,Reg:Lasso,Training,0.7444578040766183,0.2050560854340434
1,5,Reg:Lasso,Testing,0.7423476461572162,0.2074491091180643
